,Brand,Model,Range,Price,Battery_Capacity,Charging_Speed,Acceleration,Top_Speed,Seating_Capacity,Launch_Date,Date,Sales,Efficiency,Drag_Coefficient,Tire_Rolling_Resistance
4384,Tesla,Model Y,315.0,59107.69,25.37,15.8,1.62,33.58,5,2017-05-14,2017-05-14,96,0.35,0.31,0.01
4385,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,5,2019-05-30,2019-05-30,33,0.26,0.35,0.01
4386,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,5,2019-10-05,2019-10-05,96,0.34,0.26,0.01
4387,Ford,Mach-E,287.0,59811.91,33.38,9.2,2.19,47.57,7,2017-08-06,2017-08-06,92,0.35,0.25,0.01
4388,BMW,i3,340.0,59324.29,37.62,2.73,2.33,32.36,4,2022-10-07,2022-10-07,156,0.25,0.3,0.01
4389,Kia,EV6,264.0,61211.46,33.97,4.8,0.87,32.3,4,Missing,Missing,214,0.36,0.22,0.01
4390,Jaguar,I-PACE,292.0,60894.55,25.28,36.19,1.97,56.5,7,2020-11-28,2020-11-28,48,0.33,0.26,0.01
4391,BMW,i3,340.0,59324.29,37.62,2.73,2.33,32.36,5,2015-10-24,2015-10-24,107,0.25,0.3,0.01
4392,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,5,2020-01-05,2020-01-05,33,0.23,0.22,0.01
4393,Audi,Q4 e-tron,262.0,59633.88,31.12,25.26,1.73,34.21,5,2020-11-20,2020-11-20,112,0.24,0.29,0.01
4394,Jaguar,I-PACE,292.0,60894.55,25.28,36.19,1.97,56.5,5,2019-04-12,2019-04-12,92,0.33,0.26,0.01
4395,Volkswagen,ID.4,247.0,59783.72,31.61,21.43,2.02,57.81,5,2022-02-13,2022-02-13,166,0.4,0.22,0.01
4396,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,5,2016-03-20,2016-03-20,18,0.26,0.29,0.01
4397,Ford,F-150 Lightning,268.0,60121.52,28.63,0.1,2.26,59.59,5,2020-06-07,2020-06-07,23,0.37,0.24,0.01
4398,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,5,2019-06-02,2019-06-02,19,0.26,0.35,0.01
4399,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,5,2023-05-03,2023-05-03,191,0.26,0.29,0.01
4400,Lucid,Air,266.0,56169.0,36.95,1.15,2.11,49.47,5,2018-12-28,2018-12-28,96,0.37,0.31,0.01
4401,Ford,F-150 Lightning,268.0,60121.52,28.63,0.1,2.26,59.59,5,2022-03-02,2022-03-02,41,0.37,0.24,0.01
4402,Rivian,R1T,321.0,60736.87,31.43,22.2,2.02,28.46,5,2023-02-01,2023-02-01,29,0.39,0.29,0.01
4403,Audi,Q4 e-tron,262.0,59633.88,31.12,25.26,1.73,34.21,5,2020-03-02,2020-03-02,155,0.24,0.29,0.01
4404,Nissan,Ariya,326.0,60650.59,31.27,0.16,2.17,31.59,5,2020-03-21,2020-03-21,150,0.23,0.27,0.01
4405,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,5,2019-03-27,2019-03-27,100,0.34,0.26,0.01
4406,Chevrolet,Bolt,339.0,59656.33,36.97,16.72,1.94,50.15,7,2015-04-24,2015-04-24,77,0.36,0.34,0.01
4407,Chevrolet,Bolt,339.0,59656.33,36.97,16.72,1.94,50.15,5,2018-08-30,2018-08-30,87,0.36,0.34,0.01
4408,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,5,2022-07-29,2022-07-29,105,0.26,0.29,0.01
4409,Nissan,Leaf,263.0,61635.17,15.58,9.42,1.17,49.6,5,2022-10-22,2022-10-22,97,0.29,0.29,0.01
4410,BMW,iX,282.0,62657.81,41.83,24.68,1.97,40.87,7,2021-02-18,2021-02-18,116,0.39,0.22,0.01
4411,Tesla,2,280.0,60193.28,27.42,26.72,1.82,51.53,4,2016-08-20,2016-08-20,74,0.21,0.31,0.01
4412,Tesla,Model Y,315.0,59107.69,25.37,15.8,1.62,33.58,4,2019-10-04,2019-10-04,28,0.35,0.31,0.01
4413,Audi,Q4 e-tron,262.0,59633.88,31.12,25.26,1.73,34.21,5,2017-06-08,2017-06-08,40,0.24,0.29,0.01
4414,Ford,Mach-E,287.0,59811.91,33.38,9.2,2.19,47.57,5,2020-07-20,2020-07-20,27,0.35,0.25,0.01
4415,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,5,2019-10-18,2019-10-18,178,0.26,0.35,0.01
4416,BMW,i3,340.0,59324.29,37.62,2.73,2.33,32.36,4,2018-06-27,2018-06-27,67,0.25,0.3,0.01
4417,Ford,F-150 Lightning,268.0,60121.52,28.63,0.1,2.26,59.59,5,2022-09-28,2022-09-28,140,0.37,0.24,0.01
4418,Ford,Mach-E,287.0,59811.91,33.38,9.2,2.19,47.57,5,2020-06-20,2020-06-20,136,0.35,0.25,0.01
4419,Tesla,2,280.0,60193.28,27.42,26.72,1.82,51.53,5,2017-10-29,2017-10-29,30,0.21,0.31,0.01
4420,Kia,Niro,316.0,58513.03,31.7,12.06,1.85,47.07,5,2020-08-06,2020-08-06,21,0.36,0.23,0.01
4421,Chevrolet,Bolt,339.0,59656.33,36.97,16.72,1.94,50.15,5,2022-06-27,2022-06-27,51,0.36,0.34,0.01
4422,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,4,2021-12-12,2021-12-12,122,0.26,0.29,0.01
4423,Tesla,Model 3,323.0,60234.85,28.08,4.96,1.63,31.32,5,2022-08-07,2022-08-07,109,0.35,0.27,0.01
4424,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,5,2023-04-22,2023-04-22,129,0.26,0.29,0.01
4425,Tesla,2,280.0,60193.28,27.42,26.72,1.82,51.53,4,2019-07-26,2019-07-26,92,0.21,0.31,0.01
4426,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,5,2017-08-21,2017-08-21,20,0.23,0.22,0.01
4427,Jaguar,I-PACE,292.0,60894.55,25.28,36.19,1.97,56.5,5,2023-08-29,2023-08-29,43,0.33,0.26,0.01
4428,Jaguar,I-PACE,292.0,60894.55,25.28,36.19,1.97,56.5,4,2015-07-26,2015-07-26,93,0.33,0.26,0.01
4429,Kia,EV6,264.0,61211.46,33.97,4.8,0.87,32.3,5,2020-10-27,2020-10-27,25,0.36,0.22,0.01
4430,Jaguar,I-PACE,292.0,60894.55,25.28,36.19,1.97,56.5,5,2023-03-20,2023-03-20,125,0.33,0.26,0.01
4431,Nissan,Leaf,263.0,61635.17,15.58,9.42,1.17,49.6,5,2021-11-12,2021-11-12,130,0.29,0.29,0.01
4432,Mercedes-Benz,EQS,338.0,60402.4,29.59,24.75,1.66,32.16,5,2015-10-14,2015-10-14,79,0.26,0.31,0.01
4433,Ford,F-150 Lightning,268.0,60121.52,28.63,0.1,2.26,59.59,5,2018-02-10,2018-02-10,85,0.37,0.24,0.01
4434,Audi,Q4 e-tron,262.0,59633.88,31.12,25.26,1.73,34.21,5,2018-12-20,2018-12-20,129,0.24,0.29,0.01
4435,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,5,2021-03-24,2021-03-24,91,0.26,0.35,0.01
4436,Audi,Q4 e-tron,262.0,59633.88,31.12,25.26,1.73,34.21,4,2017-02-16,2017-02-16,90,0.24,0.29,0.01
4437,Nissan,Leaf,263.0,61635.17,15.58,9.42,1.17,49.6,5,2022-10-06,2022-10-06,28,0.29,0.29,0.01
4438,Mercedes-Benz,EQS,338.0,60402.4,29.59,24.75,1.66,32.16,7,2017-05-30,2017-05-30,66,0.26,0.31,0.01
4439,Nissan,Leaf,263.0,61635.17,15.58,9.42,1.17,49.6,5,2018-12-01,2018-12-01,35,0.29,0.29,0.01
4440,Mercedes-Benz,EQS,338.0,60402.4,29.59,24.75,1.66,32.16,5,2018-05-24,2018-05-24,89,0.26,0.31,0.01
4441,Volvo,XC40 Recharge,294.0,61473.43,34.3,25.19,1.69,52.0,5,2022-07-30,2022-07-30,118,0.37,0.32,0.01
4442,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,7,Missing,2021-06-28,114,0.26,0.29,0.01
4443,Rivian,R1T,321.0,60736.87,31.43,22.2,2.02,28.46,5,2015-07-14,2015-07-14,62,0.39,0.29,0.01
4444,BMW,i3,340.0,59324.29,37.62,2.73,2.33,32.36,5,2015-01-26,2015-01-26,100,0.25,0.3,0.01
4445,Volvo,XC40 Recharge,294.0,61473.43,34.3,25.19,1.69,52.0,5,2021-05-07,2021-05-07,143,0.37,0.32,0.01
4446,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,5,2017-04-13,2017-04-13,31,0.34,0.26,0.01
4447,BMW,iX,282.0,62657.81,41.83,24.68,1.97,40.87,4,2020-12-27,Missing,102,0.39,0.22,0.01
4448,Ford,Mach-E,287.0,59811.91,33.38,9.2,2.19,47.57,5,2023-07-23,2023-07-23,29,0.35,0.25,0.01
4449,Hyundai,Ioniq 5,286.0,60385.15,35.78,1.47,1.27,35.28,5,2018-10-06,2018-10-06,105,0.21,0.25,0.01
4450,Chevrolet,Bolt,339.0,59656.33,36.97,16.72,1.94,50.15,5,2020-04-09,2020-04-09,103,0.36,0.34,0.01
4451,Lucid,Air,266.0,56169.0,36.95,1.15,2.11,49.47,5,2017-09-18,2017-09-18,75,0.37,0.31,0.01
4452,Jaguar,I-PACE,292.0,60894.55,25.28,36.19,1.97,56.5,5,2022-11-26,2022-11-26,106,0.33,0.26,0.01
4453,Lucid,Air,266.0,56169.0,36.95,1.15,2.11,49.47,7,2023-07-16,2023-07-16,172,0.37,0.31,0.01
4454,Kia,EV6,264.0,61211.46,33.97,4.8,0.87,32.3,4,2022-02-04,2022-02-04,131,0.36,0.22,0.01
4455,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,5,2015-10-08,2015-10-08,27,0.34,0.26,0.01
4456,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,5,2023-09-24,2023-09-24,182,0.26,0.29,0.01
4457,Lucid,Air,266.0,56169.0,36.95,1.15,2.11,49.47,5,2017-01-23,2017-01-23,79,0.37,0.31,0.01
4458,BMW,iX,282.0,62657.81,41.83,24.68,1.97,40.87,5,2022-11-14,2022-11-14,90,0.39,0.22,0.01
4459,BMW,i3,340.0,59324.29,37.62,2.73,2.33,32.36,5,2023-04-11,2023-04-11,111,0.25,0.3,0.01
4460,Kia,Niro,316.0,58513.03,31.7,12.06,1.85,47.07,5,2017-08-16,2017-08-16,117,0.36,0.23,0.01
4461,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,5,Missing,2017-02-25,20,0.23,0.22,0.01
4462,Chevrolet,Bolt,339.0,59656.33,36.97,16.72,1.94,50.15,5,2019-06-27,2019-06-27,108,0.36,0.34,0.01
4463,Hyundai,Ioniq 5,286.0,60385.15,35.78,1.47,1.27,35.28,7,2021-01-21,2021-01-21,102,0.21,0.25,0.01
4464,Lucid,Air,266.0,56169.0,36.95,1.15,2.11,49.47,4,2019-01-31,2019-01-31,176,0.37,0.31,0.01
4465,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,4,2016-04-12,2016-04-12,74,0.26,0.35,0.01
4466,Ford,F-150 Lightning,268.0,60121.52,28.63,0.1,2.26,59.59,5,2022-11-03,2022-11-03,41,0.37,0.24,0.01
4467,Audi,Q4 e-tron,262.0,59633.88,31.12,25.26,1.73,34.21,7,2016-06-21,2016-06-21,84,0.24,0.29,0.01
4468,Nissan,Ariya,326.0,60650.59,31.27,0.16,2.17,31.59,5,Missing,2021-06-14,104,0.23,0.27,0.01
4469,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,4,2017-02-16,2017-02-16,72,0.34,0.26,0.01
4470,Volkswagen,ID.4,247.0,59783.72,31.61,21.43,2.02,57.81,5,2019-10-20,2019-10-20,123,0.4,0.22,0.01
4471,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,5,Missing,2022-11-28,218,0.31,0.26,0.01
4472,Audi,Q4 e-tron,262.0,59633.88,31.12,25.26,1.73,34.21,4,2015-01-04,2015-01-04,15,0.24,0.29,0.01
4473,Lucid,Air,266.0,56169.0,36.95,1.15,2.11,49.47,5,Missing,2023-09-25,27,0.37,0.31,0.01
4474,Volvo,XC40 Recharge,294.0,61473.43,34.3,25.19,1.69,52.0,5,2016-06-18,2016-06-18,102,0.37,0.32,0.01
4475,Volkswagen,ID.4,247.0,59783.72,31.61,21.43,2.02,57.81,5,2018-01-03,2018-01-03,81,0.4,0.22,0.01
4476,Kia,EV6,264.0,61211.46,33.97,4.8,0.87,32.3,5,2016-12-15,2016-12-15,59,0.36,0.22,0.01
4477,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,5,2018-01-22,2018-01-22,42,0.26,0.29,0.01
4478,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,4,Missing,2022-08-18,134,0.26,0.35,0.01
4479,Kia,EV6,264.0,61211.46,33.97,4.8,0.87,32.3,5,2021-08-15,2021-08-15,133,0.36,0.22,0.01
4480,Mercedes-Benz,EQS,338.0,60402.4,29.59,24.75,1.66,32.16,5,2021-10-18,2021-10-18,29,0.26,0.31,0.01
4481,Lucid,Air,266.0,56169.0,36.95,1.15,2.11,49.47,5,2022-05-17,2022-05-17,157,0.37,0.31,0.01
4482,Tesla,Model 3,323.0,60234.85,28.08,4.96,1.63,31.32,5,2018-04-04,2018-04-04,41,0.35,0.27,0.01
4483,Kia,EV6,264.0,61211.46,33.97,4.8,0.87,32.3,4,2021-12-14,2021-12-14,183,0.36,0.22,0.01
4484,Kia,Niro,316.0,58513.03,31.7,12.06,1.85,47.07,5,2022-08-24,2022-08-24,157,0.36,0.23,0.01
4485,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,7,2022-05-24,2022-05-24,271,0.23,0.22,0.01
4486,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,5,2017-06-09,2017-06-09,82,0.26,0.29,0.01
4487,BMW,iX,282.0,62657.81,41.83,24.68,1.97,40.87,5,2019-04-15,2019-04-15,137,0.39,0.22,0.01
4488,BMW,i3,340.0,59324.29,37.62,2.73,2.33,32.36,5,2015-01-21,2015-01-21,91,0.25,0.3,0.01
4489,Tesla,Model Y,315.0,59107.69,25.37,15.8,1.62,33.58,5,2017-04-08,2017-04-08,72,0.35,0.31,0.01
4490,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,5,2020-06-26,2020-06-26,171,0.26,0.29,0.01
4491,Lucid,Air,266.0,56169.0,36.95,1.15,2.11,49.47,5,2016-06-14,2016-06-14,86,0.37,0.31,0.01
4492,Hyundai,Ioniq 5,286.0,60385.15,35.78,1.47,1.27,35.28,5,2022-10-20,2022-10-20,132,0.21,0.25,0.01
4493,Kia,EV6,264.0,61211.46,33.97,4.8,0.87,32.3,5,2016-10-14,2016-10-14,19,0.36,0.22,0.01
4494,Volkswagen,ID.4,247.0,59783.72,31.61,21.43,2.02,57.81,5,2015-03-03,2015-03-03,92,0.4,0.22,0.01
4495,Rivian,R1T,321.0,60736.87,31.43,22.2,2.02,28.46,5,2023-07-25,2023-07-25,225,0.39,0.29,0.01
4496,Ford,Mach-E,287.0,59811.91,33.38,9.2,2.19,47.57,5,2023-09-21,2023-09-21,25,0.35,0.25,0.01
4497,Ford,F-150 Lightning,268.0,60121.52,28.63,0.1,2.26,59.59,5,Missing,2016-12-07,92,0.37,0.24,0.01
4498,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,5,2022-06-17,2022-06-17,194,0.26,0.29,0.01
4499,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,5,2017-12-22,2017-12-22,95,0.23,0.22,0.01
4500,Jaguar,I-PACE,292.0,60894.55,25.28,36.19,1.97,56.5,5,2018-02-09,2018-02-09,80,0.33,0.26,0.01
4501,Volkswagen,ID.4,247.0,59783.72,31.61,21.43,2.02,57.81,5,2015-05-28,2015-05-28,17,0.4,0.22,0.01
4502,Ford,Mach-E,287.0,59811.91,33.38,9.2,2.19,47.57,5,2023-07-30,2023-07-30,137,0.35,0.25,0.01
4503,Lucid,Air,266.0,56169.0,36.95,1.15,2.11,49.47,5,2016-10-09,2016-10-09,67,0.37,0.31,0.01
4504,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,5,2016-11-12,2016-11-12,90,0.23,0.22,0.01
4505,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,4,2018-07-09,2018-07-09,29,0.34,0.26,0.01
4506,Volvo,XC40 Recharge,294.0,61473.43,34.3,25.19,1.69,52.0,5,2018-03-05,2018-03-05,18,0.37,0.32,0.01
4507,Kia,EV6,264.0,61211.46,33.97,4.8,0.87,32.3,5,2021-06-16,2021-06-16,132,0.36,0.22,0.01
4508,Rivian,R1T,321.0,60736.87,31.43,22.2,2.02,28.46,5,2015-03-19,2015-03-19,58,0.39,0.29,0.01
4509,Kia,EV6,264.0,61211.46,33.97,4.8,0.87,32.3,7,2017-10-13,2017-10-13,86,0.36,0.22,0.01
4510,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,4,2023-01-14,2023-01-14,42,0.23,0.22,0.01
4511,Chevrolet,Bolt,339.0,59656.33,36.97,16.72,1.94,50.15,5,2015-05-30,2015-05-30,25,0.36,0.34,0.01
4512,Lucid,Air,266.0,56169.0,36.95,1.15,2.11,49.47,5,2018-12-04,2018-12-04,167,0.37,0.31,0.01
4513,Nissan,Ariya,326.0,60650.59,31.27,0.16,2.17,31.59,5,2017-12-23,2017-12-23,129,0.23,0.27,0.01
4514,Tesla,Model Y,315.0,59107.69,25.37,15.8,1.62,33.58,5,2016-06-09,2016-06-09,92,0.35,0.31,0.01
4515,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,5,2015-05-26,Missing,115,0.23,0.22,0.01
4516,Ford,Mach-E,287.0,59811.91,33.38,9.2,2.19,47.57,2,2018-08-26,2018-08-26,90,0.35,0.25,0.01
4517,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,2,2020-03-20,2020-03-20,18,0.31,0.26,0.01
4518,Hyundai,Ioniq 5,286.0,60385.15,35.78,1.47,1.27,35.28,2,2017-06-25,2017-06-25,79,0.21,0.25,0.01
4519,BMW,i3,340.0,59324.29,37.62,2.73,2.33,32.36,2,2019-02-23,2019-02-23,113,0.25,0.3,0.01
4520,Tesla,2,280.0,60193.28,27.42,26.72,1.82,51.53,5,2016-11-04,2016-11-04,14,0.21,0.31,0.01
4521,Jaguar,I-PACE,292.0,60894.55,25.28,36.19,1.97,56.5,5,2023-12-26,2023-12-26,169,0.33,0.26,0.01
4522,Tesla,Model 3,323.0,60234.85,28.08,4.96,1.63,31.32,5,2021-09-09,2021-09-09,125,0.35,0.27,0.01
4523,Rivian,R1T,321.0,60736.87,31.43,22.2,2.02,28.46,5,2021-11-03,2021-11-03,37,0.39,0.29,0.01
4524,Kia,Niro,316.0,58513.03,31.7,12.06,1.85,47.07,5,2016-12-23,2016-12-23,79,0.36,0.23,0.01
4525,Audi,Q4 e-tron,262.0,59633.88,31.12,25.26,1.73,34.21,5,2020-05-28,2020-05-28,38,0.24,0.29,0.01
4526,Nissan,Leaf,263.0,61635.17,15.58,9.42,1.17,49.6,5,2020-02-03,2020-02-03,68,0.29,0.29,0.01
4527,Audi,Q4 e-tron,262.0,59633.88,31.12,25.26,1.73,34.21,4,2016-02-22,2016-02-22,23,0.24,0.29,0.01
4528,Tesla,Model Y,315.0,59107.69,25.37,15.8,1.62,33.58,4,2019-01-25,2019-01-25,125,0.35,0.31,0.01
4529,Ford,F-150 Lightning,268.0,60121.52,28.63,0.1,2.26,59.59,5,2016-12-30,2016-12-30,59,0.37,0.24,0.01
4530,Volkswagen,ID.4,247.0,59783.72,31.61,21.43,2.02,57.81,5,2020-02-27,2020-02-27,35,0.4,0.22,0.01
4531,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,4,2018-05-17,2018-05-17,83,0.34,0.26,0.01
4532,Nissan,Leaf,263.0,61635.17,15.58,9.42,1.17,49.6,4,2022-05-31,2022-05-31,132,0.29,0.29,0.01
4533,BMW,i3,340.0,59324.29,37.62,2.73,2.33,32.36,5,2018-05-16,2018-05-16,18,0.25,0.3,0.01
4534,BMW,iX,282.0,62657.81,41.83,24.68,1.97,40.87,5,Missing,2021-02-09,125,0.39,0.22,0.01
4535,Jaguar,I-PACE,292.0,60894.55,25.28,36.19,1.97,56.5,7,2018-10-02,2018-10-02,116,0.33,0.26,0.01
4536,Audi,Q4 e-tron,262.0,59633.88,31.12,25.26,1.73,34.21,5,2018-11-27,2018-11-27,109,0.24,0.29,0.01
4537,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,5,2020-04-25,2020-04-25,91,0.26,0.35,0.01
4538,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,5,2015-10-15,2015-10-15,70,0.26,0.35,0.01
4539,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,7,2020-12-08,2020-12-08,133,0.34,0.26,0.01
4540,Jaguar,I-PACE,292.0,60894.55,25.28,36.19,1.97,56.5,5,Missing,2023-02-04,118,0.33,0.26,0.01
4541,Mercedes-Benz,EQS,338.0,60402.4,29.59,24.75,1.66,32.16,5,2018-01-05,2018-01-05,98,0.26,0.31,0.01
4542,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,5,2021-09-23,2021-09-23,140,0.26,0.29,0.01
4543,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,5,2022-06-15,2022-06-15,27,0.31,0.26,0.01
4544,Tesla,2,280.0,60193.28,27.42,26.72,1.82,51.53,5,2018-08-15,2018-08-15,91,0.21,0.31,0.01
4545,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,5,2019-07-13,2019-07-13,79,0.26,0.29,0.01
4546,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,5,2022-03-22,2022-03-22,91,0.26,0.35,0.01
4547,Volvo,XC40 Recharge,294.0,61473.43,34.3,25.19,1.69,52.0,5,2017-07-19,2017-07-19,76,0.37,0.32,0.01
4548,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,5,2020-06-26,2020-06-26,86,0.26,0.29,0.01
4549,Jaguar,I-PACE,292.0,60894.55,25.28,36.19,1.97,56.5,5,2016-01-29,2016-01-29,15,0.33,0.26,0.01
4550,Hyundai,Ioniq 5,286.0,60385.15,35.78,1.47,1.27,35.28,5,2019-10-14,2019-10-14,19,0.21,0.25,0.01
4551,BMW,i3,340.0,59324.29,37.62,2.73,2.33,32.36,5,2019-02-03,2019-02-03,106,0.25,0.3,0.01
4552,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,5,2017-02-15,2017-02-15,91,0.26,0.35,0.01
4553,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,5,2017-10-14,2017-10-14,92,0.23,0.22,0.01
4554,Jaguar,I-PACE,292.0,60894.55,25.28,36.19,1.97,56.5,5,2022-07-06,2022-07-06,135,0.33,0.26,0.01
4555,Jaguar,I-PACE,292.0,60894.55,25.28,36.19,1.97,56.5,2,2022-09-07,2022-09-07,35,0.33,0.26,0.01
4556,Nissan,Ariya,326.0,60650.59,31.27,0.16,2.17,31.59,5,2016-12-20,2016-12-20,102,0.23,0.27,0.01
4557,Jaguar,I-PACE,292.0,60894.55,25.28,36.19,1.97,56.5,5,2021-08-07,2021-08-07,29,0.33,0.26,0.01
4558,Ford,Mach-E,287.0,59811.91,33.38,9.2,2.19,47.57,4,Missing,2023-09-23,27,0.35,0.25,0.01
4559,Kia,EV6,264.0,61211.46,33.97,4.8,0.87,32.3,5,2018-09-26,2018-09-26,131,0.36,0.22,0.01
4560,Nissan,Ariya,326.0,60650.59,31.27,0.16,2.17,31.59,5,2020-06-11,2020-06-11,38,0.23,0.27,0.01
4561,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,5,2022-11-13,2022-11-13,143,0.23,0.22,0.01
4562,BMW,iX,282.0,62657.81,41.83,24.68,1.97,40.87,5,2020-05-15,2020-05-15,109,0.39,0.22,0.01
4563,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,4,2022-01-05,2022-01-05,202,0.34,0.26,0.01
4564,Kia,EV6,264.0,61211.46,33.97,4.8,0.87,32.3,5,2018-11-16,2018-11-16,78,0.36,0.22,0.01
4565,Chevrolet,Bolt,339.0,59656.33,36.97,16.72,1.94,50.15,5,2021-08-13,2021-08-13,105,0.36,0.34,0.01
4566,Lucid,Air,266.0,56169.0,36.95,1.15,2.11,49.47,5,2015-03-23,2015-03-23,28,0.37,0.31,0.01
4567,Tesla,2,280.0,60193.28,27.42,26.72,1.82,51.53,7,Missing,2022-11-25,183,0.21,0.31,0.01
4568,Ford,F-150 Lightning,268.0,60121.52,28.63,0.1,2.26,59.59,5,2016-08-29,2016-08-29,81,0.37,0.24,0.01
4569,Mercedes-Benz,EQS,338.0,60402.4,29.59,24.75,1.66,32.16,5,2017-08-13,2017-08-13,70,0.26,0.31,0.01
4570,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,4,2016-10-05,2016-10-05,57,0.26,0.35,0.01
4571,Hyundai,Ioniq 5,286.0,60385.15,35.78,1.47,1.27,35.28,5,Missing,2023-04-09,165,0.21,0.25,0.01
4572,BMW,i3,340.0,59324.29,37.62,2.73,2.33,32.36,7,2018-03-21,2018-03-21,91,0.25,0.3,0.01
4573,Rivian,R1T,321.0,60736.87,31.43,22.2,2.02,28.46,5,2023-05-14,2023-05-14,180,0.39,0.29,0.01
4574,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,4,2016-01-29,2016-01-29,24,0.23,0.22,0.01
4575,BMW,i3,340.0,59324.29,37.62,2.73,2.33,32.36,5,2019-11-19,2019-11-19,19,0.25,0.3,0.01
4576,Chevrolet,Bolt,339.0,59656.33,36.97,16.72,1.94,50.15,5,2021-01-22,2021-01-22,129,0.36,0.34,0.01
4577,Lucid,Air,266.0,56169.0,36.95,1.15,2.11,49.47,5,2020-12-18,2020-12-18,133,0.37,0.31,0.01
4578,Audi,Q4 e-tron,262.0,59633.88,31.12,25.26,1.73,34.21,5,2016-04-10,2016-04-10,88,0.24,0.29,0.01
4579,Mercedes-Benz,EQS,338.0,60402.4,29.59,24.75,1.66,32.16,5,2023-09-26,2023-09-26,33,0.26,0.31,0.01
4580,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,5,2017-04-01,2017-04-01,88,0.26,0.29,0.01
4581,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,4,2015-12-16,2015-12-16,88,0.23,0.22,0.01
4582,Tesla,Model 3,323.0,60234.85,28.08,4.96,1.63,31.32,5,2018-09-30,2018-09-30,115,0.35,0.27,0.01
4583,Nissan,Ariya,326.0,60650.59,31.27,0.16,2.17,31.59,5,2020-12-16,2020-12-16,88,0.23,0.27,0.01
4584,Jaguar,I-PACE,292.0,60894.55,25.28,36.19,1.97,56.5,5,2022-07-20,2022-07-20,34,0.33,0.26,0.01
